brand,model,submodel,year,age,mileage,mileage_per_year,mileage_missing,gear,engine,color,price,priceType,sourceName,sourceType,sourceUrl,externalId,dateRecorded,created_at,updated_at,id
HONDA,ACCORD,EL,2020,5,91622,18324.4,1,AT,UNKNOWN,UNKNOWN,628000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16594
TOYOTA,86 GT,2.0 STD,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,747000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15656
MINI,COUPE,UNKNOWN,2016,9,106000,11777.77778,0,AUTO,UNKNOWN,RED,680000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,951
BMW,X3,UNKNOWN,2006,19,222065,11687.63158,0,AUTO,UNKNOWN,ดำ,188000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1293
FORD,ECOSPORT,AMBIENTE,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,181000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18141
CHEVROLET,CAPTIVA,1.5 LS,2019,6,100000,16666.66667,1,UNKNOWN,UNKNOWN,UNKNOWN,320000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18437
TOYOTA,86 GT,2.0 STD,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,747000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15740
MITSUBISHI,TRITON 18-23,UNKNOWN,2020,5,59990,11998,0,MANUAL,UNKNOWN,เทา,355000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,957
ISUZU,D-MAX,SINGLE CAB 1.9 2WD SPARK,2020,5,233287,46657.4,0,MANUAL,1900CC,WHITE-BLACK,93000,UNKNOWN,UNKNOWN,UNKNOWN,,X1FBK257|ลำดับที่ 1017,10/27/2025,11/27/2025 13:35,11/27/2025 13:35,15546
MG,GS,UNKNOWN,2017,8,70000,8750,0,AUTO,UNKNOWN,น้ำตาล,215000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,961
PORSCHE,CAYMAN,UNKNOWN,2014,11,50000,4545.454545,0,AUTO,UNKNOWN,ขาว,2590000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,962
MITSUBISHI,TRITON 05-18,UNKNOWN,2016,9,35820,3980,0,MANUAL,UNKNOWN,เทา,315000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,963
BENZ,B-CLASS,UNKNOWN,2009,16,143005,8937.8125,0,AUTO,UNKNOWN,ขาว,399000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,964
TOYOTA,86 GT,2.0 STD MAN,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,729000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15657
TOYOTA,86 GT,2.0 STD MAN,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,729000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15741
TOYOTA,86 GT,2.0 TOP,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,800500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15658
CHEVROLET,CAPTIVA,1.5 LS,2019,6,100000,16666.66667,1,UNKNOWN,UNKNOWN,UNKNOWN,337500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18438
TOYOTA,86 GT,2.0 TOP,2012,13,100000,7692.307692,1,UNKNOWN,UNKNOWN,UNKNOWN,800500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15742
HONDA,ACCORD,EL,2021,4,101572,25393,1,AT,UNKNOWN,UNKNOWN,718500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16589
BMW,SERIES 1,UNKNOWN,2017,8,50000,6250,0,AUTO,UNKNOWN,ขาว,678000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,973
TOYOTA,86 GT,2.0 STD,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,812500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15737
TOYOTA,86 GT,2.0 STD MAN,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,794500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15738
BENZ,E-CLASS,UNKNOWN,1999,26,70000,2692.307692,0,AUTO,UNKNOWN,บรอนซ์เงิน,135000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1419
TOYOTA,86 GT,2.0 TOP,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,875500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15739
TOYOTA,86 GT,2.0 STD,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,847500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15734
BMW,SERIES 4,UNKNOWN,2016,9,165000,18333.33333,0,AUTO,UNKNOWN,ดำ,1090000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,979
BMW,X5,UNKNOWN,2010,15,223800,14920,0,AUTO,UNKNOWN,ดำ,599000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1311
BMW,X5,UNKNOWN,2015,10,97000,9700,0,AUTO,UNKNOWN,เทา,1290000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1380
HONDA,ACCORD,EL,2022,3,100000,33333.33333,1,UNKNOWN,UNKNOWN,UNKNOWN,752500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16586
TOYOTA,86 GT,2.0 STD MAN,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,825000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15735
TOYOTA,86 GT,2.0 TOP,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,906000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15736
NISSAN,ALMERA,UNKNOWN,2020,5,78000,15600,0,AUTO,UNKNOWN,RED,339000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,987
BMW,SERIES 5,UNKNOWN,2019,6,95790,15965,0,AUTO,UNKNOWN,ขาว,999000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,988
ORA,GOOD CAT,UNKNOWN,2022,3,82059,27353,0,AUTO,UNKNOWN,RED,495000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1459
BMW,SERIES 3,318i,2007,18,100000,5555.555556,1,UNKNOWN,UNKNOWN,UNKNOWN,285000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,19038
BMW,X6,UNKNOWN,2022,3,19000,6333.333333,0,AUTO,UNKNOWN,ขาว,3690000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,992
TOYOTA,86 GT,2.0 STD,2015,10,100000,10000,1,UNKNOWN,UNKNOWN,UNKNOWN,913500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15731
TOYOTA,86 GT,2.0 TOP,2015,10,100000,10000,1,UNKNOWN,UNKNOWN,UNKNOWN,963500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15733
AUDI,TT,UNKNOWN,2023,2,9000,4500,0,AUTO,UNKNOWN,YELLOW,3790000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,996
HONDA,CITY,S,2012,13,81000,6230.769231,1,UNKNOWN,UNKNOWN,UNKNOWN,133500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16705
BMW,SERIES 3,318i,2008,17,100000,5882.352941,1,AT,UNKNOWN,UNKNOWN,283500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,19036
NISSAN,ALMERA,UNKNOWN,2019,6,180900,30150,0,AUTO,UNKNOWN,RED,290000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,999
PORSCHE,CAYENNE,UNKNOWN,2018,7,58000,8285.714286,0,AUTO,UNKNOWN,เทา,3490000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1001
BMW,Z4,UNKNOWN,2009,16,125000,7812.5,0,AUTO,UNKNOWN,ขาว,990000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1002
FORD,ECOSPORT,AMBIENTE,2013,12,100000,8333.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,195500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18140
TOYOTA,86 GT,2.0 STD,2016,9,100000,11111.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,965000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15728
BMW,X5,UNKNOWN,2017,8,138120,17265,0,AUTO,UNKNOWN,เทา,999000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,981
TOYOTA,86 GT,2.0 STD MAN,2016,9,100000,11111.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,947000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15729
BMW,SERIES 3,318i,2008,17,100000,5882.352941,1,UNKNOWN,UNKNOWN,UNKNOWN,299000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,19037
BENZ,GLA-CLASS,UNKNOWN,2019,6,59000,9833.333333,0,AUTO,UNKNOWN,ดำ,859000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1008
TOYOTA,86 GT,2.0 TOP,2016,9,100000,11111.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,1033500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15730
TOYOTA,ALPHARD,2.4 HYBRID,2013,12,73000,6083.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,657500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15659
NISSAN,X-TRAIL,UNKNOWN,2017,8,54000,6750,0,AUTO,UNKNOWN,GREEN,399000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1011
TOYOTA,ALPHARD,2.4 HYBRID,2013,12,73000,6083.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,657500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15768
TOYOTA,ALPHARD,2.4 HYBRID,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,690500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15765
TOYOTA,ALPHARD,2.4 HYBRID,2015,10,109000,10900,1,UNKNOWN,UNKNOWN,UNKNOWN,768000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15760
TOYOTA,ALPHARD,2.4 V,2013,12,73000,6083.333333,1,AT,UNKNOWN,UNKNOWN,631500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15660
FORD,ECOSPORT,AMBIENTE,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,196000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18136
MG,VS HEV,UNKNOWN,2023,2,18000,9000,0,AUTO,UNKNOWN,ขาว,539000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1018
FORD,ECOSPORT,AMBIENTE,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,208000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18135
NISSAN,TIIDA,UNKNOWN,2010,15,183000,12200,0,AUTO,UNKNOWN,ขาว,129000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1020
TOYOTA,ALPHARD,2.4 V,2013,12,73000,6083.333333,1,AT,UNKNOWN,UNKNOWN,631500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15769
MG,3,UNKNOWN,2016,9,44000,4888.888889,0,AUTO,UNKNOWN,YELLOW,129000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1022
HONDA,ACCORD,E,2013,12,190710,15892.5,1,AT,UNKNOWN,UNKNOWN,225500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16627
FORD,ECOSPORT,AMBIENTE,2015,10,132145,13214.5,1,UNKNOWN,UNKNOWN,UNKNOWN,208500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18131
BMW,X1,UNKNOWN,2012,13,150000,11538.46154,0,AUTO,UNKNOWN,ขาว,319000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1487
HONDA,ACCORD,E,2017,8,100000,12500,1,AT,UNKNOWN,UNKNOWN,390000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16607
HONDA,ACCORD,E,2018,7,103612,14801.71429,1,AT,UNKNOWN,UNKNOWN,426500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16602
FORD,ECOSPORT,AMBIENTE,2015,10,132145,13214.5,1,UNKNOWN,UNKNOWN,UNKNOWN,216500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18130
BMW,X3,UNKNOWN,2012,13,194592,14968.61538,0,AUTO,UNKNOWN,บรอนซ์เงิน,419000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1896
TOYOTA,ALPHARD,2.4 V,2014,11,100000,9090.909091,1,UNKNOWN,UNKNOWN,UNKNOWN,694000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15766
TOYOTA,ALPHARD,2.4 V,2015,10,109000,10900,1,UNKNOWN,UNKNOWN,UNKNOWN,745500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15761
NISSAN,SYLPHY,UNKNOWN,2014,11,150000,13636.36364,0,AUTO,UNKNOWN,ขาว,219000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1032
TOYOTA,ALPHARD,2.5 HYBRID,2015,10,109000,10900,1,UNKNOWN,UNKNOWN,UNKNOWN,1149500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15762
HONDA,ACCORD,E,2019,6,115297,19216.16667,1,AT,UNKNOWN,UNKNOWN,466000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16597
TOYOTA,ALPHARD,2.5 HYBRID,2016,9,176500,19611.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,1170500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15758
BMW,SERIES 5,UNKNOWN,2018,7,38000,5428.571429,0,AUTO,UNKNOWN,บรอนซ์เงิน,1199000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1036
TOYOTA,ALPHARD,2.5 HYBRID,2017,8,79000,9875,1,UNKNOWN,UNKNOWN,UNKNOWN,1260500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15756
HONDA,ACCORD,EL,2022,3,100000,33333.33333,1,UNKNOWN,UNKNOWN,UNKNOWN,822500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16587
MITSUBISHI,PAJERO,UNKNOWN,2019,6,72488,12081.33333,0,AUTO,UNKNOWN,ขาว,839000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1039
BENZ,C-CLASS,UNKNOWN,2007,18,129833,7212.944444,0,AUTO,UNKNOWN,เทา,199000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1743
TOYOTA,ALPHARD,2.5 HYBRID,2018,7,130019,18574.14286,1,UNKNOWN,UNKNOWN,UNKNOWN,1373000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15752
HONDA,ACCORD,EL,2021,4,101572,25393,1,UNKNOWN,UNKNOWN,UNKNOWN,853000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16591
TOYOTA,ALPHARD,2.5 HYBRID,2021,4,260277,65069.25,0,ออโตเมติก,2500CC,WHITE,1100000,UNKNOWN,UNKNOWN,UNKNOWN,,X1FBK257|ลำดับที่ 1078,10/27/2025,11/27/2025 13:35,11/27/2025 13:35,15607
ORA,GOOD CAT,GOOD CAT EV 400 PRO,2022,3,82059,27353,1,UNKNOWN,UNKNOWN,UNKNOWN,321500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,20503
BMW,SERIES 7,UNKNOWN,2017,8,100793,12599.125,0,AUTO,UNKNOWN,ดำ,1699000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1045
FORD,ECOSPORT,AMBIENTE,2016,9,100000,11111.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,245000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18125
HONDA,ACCORD,EL,2022,3,100000,33333.33333,1,UNKNOWN,UNKNOWN,UNKNOWN,939000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16588
TOYOTA,ALPHARD,2.5 HYBRID (MY18),2018,7,130019,18574.14286,1,UNKNOWN,UNKNOWN,UNKNOWN,1598500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15753
HONDA,CITY,S,2012,13,81000,6230.769231,1,AT,UNKNOWN,UNKNOWN,145000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16704
NISSAN,MARCH,UNKNOWN,2014,11,177000,16090.90909,0,MANUAL,UNKNOWN,ดำ,179000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1051
TOYOTA,ALPHARD,2.5 HYBRID (MY18),2019,6,148471,24745.16667,1,AT,UNKNOWN,UNKNOWN,1620000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15750
NISSAN,ALMERA,UNKNOWN,2013,12,209000,17416.66667,0,AUTO,UNKNOWN,น้ำตาล,125000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1053
TOYOTA,ALPHARD,2.5 HYBRID (MY18),2020,5,40000,8000,1,UNKNOWN,UNKNOWN,UNKNOWN,1658500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15747
AUDI,A5,UNKNOWN,2019,6,90000,15000,0,AUTO,UNKNOWN,เทา,1190000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1055
TOYOTA,ALPHARD,2.5 HYBRID (MY18) (MNC),2020,5,40000,8000,1,UNKNOWN,UNKNOWN,UNKNOWN,1835000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15748
ORA,GOOD CAT,GOOD CAT EV 400 TECH,2022,3,82059,27353,1,UNKNOWN,UNKNOWN,UNKNOWN,294500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,20504
HONDA,ACCORD,EL,2013,12,190710,15892.5,1,AT,UNKNOWN,UNKNOWN,210000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16628
FORD,ECOSPORT,AMBIENTE,2017,8,100000,12500,1,UNKNOWN,UNKNOWN,UNKNOWN,271500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18122
ORA,GOOD CAT,GOOD CAT EV 500 ULTRA,2022,3,82059,27353,1,UNKNOWN,UNKNOWN,UNKNOWN,375000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,20505
TOYOTA,ALPHARD,2.5 HYBRID (MY18) (MNC),2021,4,140000,35000,1,UNKNOWN,UNKNOWN,UNKNOWN,1887500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15745
HONDA,ACCORD,EL,2014,11,170000,15454.54545,1,AT,UNKNOWN,UNKNOWN,256000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16622
BENZ,E-CLASS,UNKNOWN,2005,20,250000,12500,0,AUTO,UNKNOWN,บรอนซ์เงิน,190000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1197
ORA,GOOD CAT,GOOD CAT EV GT,2022,3,82059,27353,1,UNKNOWN,UNKNOWN,UNKNOWN,551500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,20506
TOYOTA,ALPHARD,2.5 HYBRID (MY18) (MNC),2022,3,40000,13333.33333,1,UNKNOWN,UNKNOWN,UNKNOWN,2097500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15743
TOYOTA,ALPHARD,3.5 EXECUTIVE LOUNGE,2015,10,109000,10900,1,UNKNOWN,UNKNOWN,UNKNOWN,1467500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15763
TOYOTA,ALPHARD,3.5 EXECUTIVE LOUNGE,2016,9,176500,19611.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,1508500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15759
HONDA,ACCORD,EL,2015,10,136620,13662,1,AT,UNKNOWN,UNKNOWN,299500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16617
TOYOTA,ALPHARD,3.5 EXECUTIVE LOUNGE,2017,8,79000,9875,1,UNKNOWN,UNKNOWN,UNKNOWN,1526500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15757
TOYOTA,ALPHARD,3.5 EXECUTIVE LOUNGE,2018,7,130019,18574.14286,1,UNKNOWN,UNKNOWN,UNKNOWN,1797000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15754
HONDA,ACCORD,EL,2016,9,230000,25555.55556,1,UNKNOWN,UNKNOWN,UNKNOWN,337500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16613
HONDA,ACCORD,EL,2017,8,100000,12500,1,AT,UNKNOWN,UNKNOWN,413500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16608
BMW,SERIES 3,318i,2009,16,100000,6250,1,UNKNOWN,UNKNOWN,UNKNOWN,227000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,19034
HONDA,ACCORD,EL,2018,7,103612,14801.71429,1,AT,UNKNOWN,UNKNOWN,439500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,16603
TOYOTA,ALPHARD,3.5 V MNC,2013,12,73000,6083.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,700500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15661
BMW,SERIES 3,318i,2009,16,100000,6250,1,UNKNOWN,UNKNOWN,UNKNOWN,218500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,19035
BENZ,C-CLASS,C200,2011,14,100000,7142.857143,1,AT,UNKNOWN,UNKNOWN,207000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,18744
TOYOTA,ALPHARD,3.5 V MNC,2013,12,73000,6083.333333,1,UNKNOWN,UNKNOWN,UNKNOWN,700500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,15770
